"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1935","test_get_bookingList","tests","2025-12-12","passed","2025-12-12","","test_1_booking_positive","",""
"","1323","Negative: POST - Payload Tidak Lengkap","tests","2025-12-12","passed","2025-12-12","","test_2_booking_negative","",""
"","1636","Negative: DELETE - Tanpa Token Otentikasi","tests","2025-12-12","passed","2025-12-12","","test_2_booking_negative","",""
"","1517","5: Update Booking Penuh (PUT)","tests","2025-12-12","passed","2025-12-12","","test_1_booking_positive","",""
"","1537","test_get_bookingId","tests","2025-12-12","passed","2025-12-12","","test_1_booking_positive","",""
"","2658","7: Delete Booking Sukses","tests","2025-12-12","passed","2025-12-12","","test_1_booking_positive","",""
"","1227","test_post_new_booking","tests","2025-12-12","passed","2025-12-12","","test_1_booking_positive","",""
"","1428","6: Partial Update Booking (PATCH)","tests","2025-12-12","passed","2025-12-12","","test_1_booking_positive","",""
"","1636","Negative: GET - ID Tidak Ada","tests","2025-12-12","passed","2025-12-12","","test_2_booking_negative","",""
"","1241","test_get_healthCheck","tests","2025-12-12","passed","2025-12-12","","test_1_booking_positive","",""
